1010001B22Rik	1010001B22Rik|Gm26808
1700049E17Rik1	1700049E17Rik1|4930503E14Rik|Gm2832|Gm5798|Gm5799|Gm5930|Gm6526|Gm7233|Gm8011|Gm8104|Gm8126|Gm8267|Gm9732
Ctnnd1	Ctnnd1|Gm28635
Cts3	Cts3|Ctsm
Cwc22	Cwc22|Gm13691|Gm13693|Gm13694|Gm13695|Gm13696|Gm13697|Gm13698
Cxx1a	Cxx1a|Cxx1b
Cyb5d1	Cyb5d1|Gm6685
Cyp2a12	Cyp2a12|Cyp2a22
Cyp2a4	Cyp2a4|Cyp2a5
Cyp2b13	Cyp2b13|Cyp2b9
Cyp2c37	Cyp2c37|Cyp2c50|Cyp2c54
Cyp2c40	Cyp2c40|Cyp2c67|Cyp2c68|Cyp2c69
1700095A21Rik	1700095A21Rik|Gm26763
Cyp2c65	Cyp2c65|Cyp2c66
Cyp2d10	Cyp2d10|Cyp2d11|Cyp2d12|Cyp2d34|Cyp2d9
Cyp3a11	Cyp3a11|Cyp3a16|Cyp3a41a|Cyp3a41b|Cyp3a44
Cyp3a25	Cyp3a25|Cyp3a57|Cyp3a59
Cyp4a10	Cyp4a10|Cyp4a31|Cyp4a32
Cyp4a12a	Cyp4a12a|Cyp4a12b
Cypt14	Cypt14|Cypt15
Cypt2	Cypt2|Cypt3
D13Ertd608e	D13Ertd608e|Gm21762
D5Ertd577e	D5Ertd577e|E330014E10Rik|Gm16427|Gm16513|Gm3106|Gm3139|Gm3183|Gm3286|Gm7792
1810009J06Rik	1810009J06Rik|Gm2663
D830030K20Rik	D830030K20Rik|Gm3033|Gm3173|Gm3317
DXBay18	DXBay18|Gm14685|Gm5640|Gm5936
Dcpp1	Dcpp1|Dcpp2|Dcpp3
Defa-rs7	Defa-rs7|Defa17|Defa23|Defa24|Defa25|Defa26|Defa3|Gm15284|Gm15292|Gm15299|Gm6696
Defa2	Defa2|Defa20|Defa21|Defa22|Defa5|Gm10104|Gm14850|Gm15293|Gm15308|Gm15315|Gm21002|Gm21498
Defb10	Defb10|Defb11
Defb15	Defb15|Defb34
Dmrtc1c1	Dmrtc1c1|Dmrtc1c2
Dnah7a	Dnah7a|Dnah7b|Dnah7c
Dsg1b	Dsg1b|Dsg1c
2210404O09Rik	2210404O09Rik|Zfp947
Duxbl1	Duxbl1|Duxbl2|Duxbl3
Dynlt1a	Dynlt1a|Dynlt1b|Dynlt1f
E330010L02Rik	E330010L02Rik|Gm14553
E330016L19Rik	E330016L19Rik|Gm14552|Gm2101|Gm2117|Gm2165|Gm2309|Gm3669
Ear1	Ear1|Ear10|Ear2
Entpd4	Entpd4|Gm21685
Esp15	Esp15|Esp16
Etohi1	Etohi1|Gm14288|Gm14295|Gm14305|Gm14306|Gm14308|Gm14326|Gm14391|Gm14410|Gm14418|Gm14419|Gm14434|Gm14440|Gm2026|Gm4724|Gm6710|Gm8923|Zfp931
Fam205a1	Fam205a1|Fam205a2|Fam205a3|Fam205a4
Fbxw16	Fbxw16|Fbxw26
2210418O10Rik	2210418O10Rik|Gm14296|Gm4631
Fbxw25	Fbxw25|Fbxw27
Fpr-rs6	Fpr-rs6|Fpr-rs7
Fthl17b	Fthl17b|Fthl17c|Fthl17d|Fthl17e|Fthl17f
Gal3st2	Gal3st2|Gm9994
Galnt2	Galnt2|Gm20388
Gbp10	Gbp10|Gbp6|Gbp9
Gbp11	Gbp11|Gbp8
Gemin4	Gemin4|Glod4
Gm10058	Gm10058|Gm10096|Gm10147|Gm10230|Gm10486|Gm10487|Gm10488|Gm14525|Gm14632|Gm14819|Gm1993|Gm2012|Gm2030|Gm4836|Gm5168|Gm5169|Gm5935|Gm6121|Slx
Gm10081	Gm10081|Olfr715
2610042L04Rik	2610042L04Rik|4930555G01Rik|Gm10340|Gm10406|Gm10409|Gm16434|Gm21103|Gm21560|Gm2237|Gm2888|Gm2897|Gm2956|Gm2974|Gm3002|Gm3005|Gm3020|Gm3095|Gm3099|Gm3115|Gm3127|Gm3138|Gm3149|Gm3159|Gm3164|Gm3182|Gm3194|Gm3239|Gm3248|Gm3252|Gm3269|Gm3373|Gm3383|Gm3411|Gm3424|Gm3453|Gm3460|Gm3468|Gm3476|Gm3488|Gm3500|Gm3512|Gm3526|Gm3542|Gm3558|Gm3591|Gm3594|Gm3629|Gm3636|Gm3642|Gm3667|Gm3696|Gm3739|Gm3752|Gm5458|Gm5795|Gm5796|Gm6337|Gm6356|Gm6676|Gm7876|Gm8108|Gm8159|Gm8206|Gm8237|Gm8246|Gm8279|Gm8281|Gm8297|Gm8356|Gm8362|Gm9602|Gm9603
Gm10100	Gm10100|Gm10142|Gm10272
Gm10128	Gm10128|Gm10413|Gm16440|Gm3012|Gm3043|Gm3047|Gm3187|Gm3264|Gm3298|Gm8374
Gm10139	Gm10139|Gm17404|Gm17449
Gm10146	Gm10146|Lsm7
Gm10251	Gm10251|Gm10339|Gm2916
Gm10256	Gm10256|Gm10352|Gm21677|Gm21693|Gm21704|Gm21708|Gm3376|Gm4064|Rbmy
Gm10264	Gm10264|Gm2035|Gm2046|Gm2056|Gm2075|Gm5039|Gm6803|Gm8332
Gm10302	Gm10302|Vmn2r29|Vmn2r30|Vmn2r31|Vmn2r32|Vmn2r33|Vmn2r34|Vmn2r35|Vmn2r36|Vmn2r37|Vmn2r38|Vmn2r39|Vmn2r40|Vmn2r41|Vmn2r42|Vmn2r43|Vmn2r44|Vmn2r45|Vmn2r46|Vmn2r47|Vmn2r48|Vmn2r49|Vmn2r50|Vmn2r51
Gm10310	Gm10310|Olfr247|Olfr819
Gm10323	Gm10323|Zfp640
4921509C19Rik	4921509C19Rik|Gm14147|Gm14151
Gm10334	Gm10334|Gm5771|Prss1|Prss2|Prss3|Try10|Try4|Try5
Gm10338	Gm10338|Gm3029|Gm3685|Gm3727|Gm5797
Gm10351	Gm10351|Gm21028
Gm10378	Gm10378|Gm3371|Gm5624|Gm7995
Gm10408	Gm10408|Gm2244|Gm3278|Gm3532|Gm3755|Gm8050|Gm8271
Gm10436	Gm10436|Gm2042|Oog1
Gm10439	Gm10439|Gm15080|Gm15085|Gm15091|Gm15093|Gm15097|Gm15107|Gm15114|Gm15127|Gm15128|Luzp4|Ott
Gm10593	Gm10593|Gm12394|Gm3892
Gm10639	Gm10639|Gsta1|Gsta2
Gm10662	Gm10662|Gm10668|Gm4565|Gm4567|Gm5157|Gm5891|Gm6176|Gm6882|Gm6902|RP23-342N5.2|RP23-342N5.5
4921511M17Rik	4921511M17Rik|Gm10057|Gm15140|Samt1
Gm10665	Gm10665|Gm10666|Gm10670|Gm16442|Gm16451|Gm4133|Gm4141|Gm4175|Gm4177|Gm4187|Gm4201|Gm4214|Gm4216|Gm4498|Gm5725|Gm5726|Gm5728|Gm6164|Gm8453|Gm8653|Gm8660|Gm8677|Gm8693|Gm8720|V1rd19|Vmn1r100|Vmn1r101|Vmn1r103|Vmn1r104|Vmn1r107|Vmn1r111|Vmn1r112|Vmn1r113|Vmn1r114|Vmn1r115|Vmn1r116|Vmn1r117|Vmn1r118|Vmn1r119|Vmn1r120|Vmn1r121|Vmn1r122|Vmn1r123|Vmn1r124|Vmn1r125|Vmn1r126|Vmn1r127|Vmn1r128|Vmn1r129|Vmn1r130|Vmn1r131|Vmn1r132|Vmn1r135|Vmn1r137|Vmn1r138|Vmn1r139|Vmn1r142|Vmn1r143|Vmn1r148|Vmn1r149|Vmn1r151|Vmn1r152|Vmn1r155|Vmn1r157|Vmn1r158|Vmn1r159|Vmn1r160|Vmn1r163|Vmn1r165|Vmn1r166|Vmn1r178|Vmn1r180|Vmn1r181|Vmn1r183|Vmn1r91|Vmn1r93|Vmn1r94|Vmn1r95
Gm10681	Gm10681|Gm4450|Hsd3b4|Hsd3b5
Gm10696	Gm10696|Gm4778|Gm5286
Gm10697	Gm10697|Gm37596|Tdpoz5
Gm10709	Gm10709|Rpl29
Gm10715	Gm10715|Gm10718|Gm10720|Gm10721|Gm10722|Gm17535
Gm10719	Gm10719|Gm11168
Gm10778	Gm10778|Gm4767
Gm10800	Gm10800|Gm10801
Gm10825	Gm10825|Gm26581
1700001F09Rik	1700001F09Rik|BC061237|Gm10375|Gm10376|Gm10377|Gm3486|Gm3543|Gm3573|Gm3676|Gm4181|Gm5800
4921528I07Rik	4921528I07Rik|4930579C12Rik|Gm2396
Gm10921	Gm10921|Gm10922|Gm14345|Gm14346|Gm14347|Gm14351|Gm14374|Gm21364|Gm21447|Gm21608|Gm21645|Gm21657|Gm21681|Gm21699|Gm21950|Gm21951|Gm2777|Gm2784|Gm2799|Gm2825|Gm2863|Gm2913|Gm2927|Gm2933|Gm2964|Gm3701|Gm3706|Gm3750|Gm3763|Gmcl1l
Gm11007	Gm11007|Gm14322|Gm14325|Gm14399|Gm14403|Gm14409|Gm2004|Gm2007
Gm11009	Gm11009|Gm14408
Gm11032	Gm11032|Gm23681
Gm11127	Gm11127|Gm7030
Gm11236	Gm11236|Gm11237|Gm11238|Gm11239|Gm11487|Gm11756|Gm11757|Gm11758|Gm13871|Gm428
Gm11261	Gm11261|Gm11815|Gm11851
Gm11309	Gm11309|Gm11314
Gm11397	Gm11397|Serpinb9d|Serpinb9e|Serpinb9f|Serpinb9g
Gm1140	Gm1140|Gm14692
4930442J19Rik	4930442J19Rik|Gm14144
Gm11554	Gm11554|Gm11569|Krtap4-13
Gm11596	Gm11596|Krtap4-8
Dppa1	Dppa1|Gm12171
Gm12238	Gm12238|Gm22884
Gm12794	Gm12794|Gm12800
Gm12886	Gm12886|Gm12888
Gm13051	Gm13051|Gm13139|Gm13150|Gm13151|Gm13154|Gm13157|Gm13212|Gm13225|Zfp534
Gm13078	Gm13078|Gm13083|Pramef6
Gm13084	Gm13084|Oog2
Gm13088	Gm13088|Gm13103
4930449I24Rik	4930449I24Rik|Gm3402|Gm3404|Gm3409|Gm3415|Gm5565|Gm6309|Gm6370|Gm6408
Gm13102	Gm13102|Pramel4|Pramel5
Gm13128	Gm13128|Pramef17
Gm13166	Gm13166|Gm13236
Gm13242	Gm13242|Gm13247|Rex2|Zfp600
Gm13271	Gm13271|Gm13272|Gm13275|Gm13276|Gm13277|Gm13278|Gm13279|Gm13287|Gm13289|Gm13290
Gm13283	Gm13283|Gm13285|Ifnz
Gm13305	Gm13305|Il11ra1|Il11ra2
Gm13741	Gm13741|Olfr1128|Olfr1133|Olfr1134
Gm13757	Gm13757|Olfr1181|Olfr1182
Gm13762	Gm13762|Olfr1213
4930467E23Rik	4930467E23Rik|Gm20946|Gm21119
Gm13769	Gm13769|Olfr1265|Olfr1269|Olfr1506
Gm14085	Gm14085|Slc28a2
Gm14124	Gm14124|Zfp345
Gm14145	Gm14145|Gm14146
Gm14214	Gm14214|Rpl7a
Gm14327	Gm14327|Gm14435|Gm4723
Gm14406	Gm14406|Gm14444
Gm14431	Gm14431|Gm4245
Gm14459	Gm14459|Gm5751|Gm6592|Ssx9|Ssxb1|Ssxb10|Ssxb2|Ssxb3|Ssxb5|Ssxb6|Ssxb8|Ssxb9
Gm14548	Gm14548|Gm15448|Lilra6
4930524N10Rik	4930524N10Rik|Samt2
Gm14743	Gm14743|Obp1b
Gm14781	Gm14781|Mageb5
Gm14920	Gm14920|H2afb2|H2afb3
Gm15013	Gm15013|Rps4x
Gm15015	Gm15015|Gm15017|Gm15020
Gm15086	Gm15086|Gm15092|Gm15099|Gm15100
Gm15319	Gm15319|Gm7697|Gm9495
Gm15446	Gm15446|Zfp932
Gm15922	Gm15922|Pira2
Gm16025	Gm16025|Gm16092|Gm17017
4930558F17Rik	4930558F17Rik|Gm34082|Gm43131|Gm43132|Gm43358|Gm43492|Gm43639|Gm43640|Gm43641|Gm43642|Gm43643|Gm43644
Gm16405	Gm16405|Gm16430|Slxl1
Gm16494	Gm16494|Gm6594
Gm16501	Gm16501|Gm6026
Gm16506	Gm16506|Gm17026|Gm17027|Gm17078|Gm17079|Gm17093|Gm17124|Gm17175|Gm17654|Gm21977|Gm3072|Gm3327|Gm6482|Gm7945|Gm7951|Gm7954|Gm7970|Gm7980|Gm8005|Gm8020|Gm8024|Gm8068|Gm8082|Gm8094|Gm8122|Gm8127|Gm8138|Gm8165|Gm8180|Gm8212|Gm8229|Gm8232
Gm16602	Gm16602|Tcrg-V3|Trgv2
Gm16677	Gm16677|Gm27174
Gm17267	Gm17267|Gm17361|Gm17412|Gm17467|Gm17469|Gm17521|Gm17522|Gm17577|Gm17584|Gm17693|Gm21616
Gm17330	Gm17330|Gm21863|Gm3944|Gm3993|Gm9257|Gm9312
Gm17514	Gm17514|Gm26715|Gm26754|Gm26806
Gm17575	Gm17575|Platr30
4930572O03Rik	4930572O03Rik|Gm10354|Gm17019|Gm21083|Gm21149|Gm21190|Gm9758|Speer4c|Speer4d|Speer4e|Speer4f1|Speer4f2
Gm17727	Gm17727|Gm27235
Gm18025	Gm18025|Gm5786
Gm19402	Gm19402|Gm19668|Gm3233|Gm3238|Gm3250|Gm7137|Gm7138|Gm9507
Gm19658	Gm19658|Gm44314|Gm44341|Gm44344|Gm44350|Gm44357|Gm44359|Gm44367|Gm44390|Gm44394|Gm44454|Gm44466|Gm44484|Gm44486
Gm19684	Gm19684|Gm6034
Gm20236	Gm20236|Gm37094
Gm20503	Gm20503|Gng10
Gm20507	Gm20507|Pram1
Gm20605	Gm20605|Lrch4
Gm20634	Gm20634|Hist2h3c1
4932431L22Rik	4932431L22Rik|Gm29221|Gm37236
Gm20730	Gm20730|Igkv2-137
Gm20737	Gm20737|Gm20772|Gm20773|Gm20777|Gm20795|Gm20807|Gm20831|Gm20873|Gm21310|Gm21425|Gm21440|Gm21454|Gm21719|Gm21778|Gm21854|Gm21874|Gm28079|Gm29644|Gm33815|Ssty1
Gm20738	Gm20738|Gm20747|Gm20806|Gm20809|Gm20812|Gm20815|Gm20816|Gm20821|Gm20822|Gm20823|Gm20825|Gm20828|Gm20830|Gm20834|Gm20852|Gm20854|Gm20865|Gm20867|Gm20877|Gm20909|Gm20914|Gm20917|Gm20918|Gm20924|Gm21118|Gm21292|Gm21394|Gm21721|Gm21812|Gm21943|Gm28171|Gm29049|Gm37440|Ssty2
Gm20765	Gm20765|Gm21293|Gm21304|Gm21312|Gm4340|Gm6763|Gm8764
Gm20826	Gm20826|Gm21244
Gm20963	Gm20963|Gm20978|Gm20987|Gm21413|Gm21419|Gm21428|Gm21450|Gm28092|Gm28128|Gm28132|Gm28210|Gm28216|Gm28312|Gm28336|Gm28398|Gm28442|Gm28517|Gm28575|Gm28656|Gm28689|Gm28763|Gm28786|Gm28810|Gm28858|Gm28890|Gm28984|Gm29042|Gm29285|Gm29316|Gm29349|Gm29351|Gm29466|Gm29531|Gm29579|Gm29580|Gm29645|Gm29653|Gm29656|Gm29839|Gm36782|Gm36929|Gm37544|Gm37635|Gm37898|Gm37927|Gm37998
Gm21092	Gm21092|Gm6483
Gm21170	Gm21170|Gm21679
Gm21188	Gm21188|Gm21370
Gm21379	Gm21379|Rbm31y
4933402N22Rik	4933402N22Rik|Gm5861|Gm6455|Gm6460|Gm6465|Gm8857|Gm8879|Gm8922|Speer1|Speer3
Gm21529	Gm21529|Gm21539|Gm21562|Gm21572|Gm21588|Gm21599|Gm21626|Gm21633|Gm21723|Gm21780|Gm21801|Gm21809|Gm21821|Gm21842|Gm21914|Gm21916|Gm28194|Gm28461|Gm28554|Gm28566|Gm28604|Gm28851|Gm28886|Gm29213|Gm29370
Gm21586	Gm21586|Gm21953
Gm21637	Gm21637|Gm2854|Gm5926|Spin2-ps6|Spin2d|Spin2e|Spin2f|Spin2g
Gm21725	Gm21725|Gm21746|Gm21764|Gm21767|Gm21775|Gm21788|Gm21797|Gm21800|Gm21822|Gm21828|Gm21852|Gm21866|Gm21891|Gm21900|Gm21904
Gm21732	Gm21732|Gm21773|Gm21776|Gm21820|Gm21882|Gm21913|Gm21921
Gm21748	Gm21748|Gm21860
Gm21789	Gm21789|Gm21870|Gm21883
Gm21833	Gm21833|Gm21897
Gm21955	Gm21955|Gm37530
Gm21974	Gm21974|Prss53
4933406F09Rik	4933406F09Rik|Gm17188|Gm26552|Gm26630|Gm26650|Gm26655|Gm26680|Gm26886|Gm26893
Gm22002	Gm22002|Gm22174|Gm22411|Gm22692|Gm22875|Gm23638|Gm23968|Gm24081|Gm25960|Gm26141|Gm27634
Gm22003	Gm22003|Gm22004|Gm22170|Gm22246|Gm22749|Gm23296|Gm23298|Gm23579|Gm23732|Gm24142|Gm24449|Gm24499|Gm24859|Gm24921|Gm25414|Gm25538|Gm25577|Gm25801|Gm26055|Gm26071|Gm26449|Gm26454
Gm22006	Gm22006|Gm22233|Gm24416|Gm25868|Gm25936
Gm22029	Gm22029|Gm22468|Gm24744|Gm25042|Gm25347|Gm26137
Gm22042	Gm22042|Gm25581
Gm22044	Gm22044|Gm22063|Gm22305|Gm22509|Gm23627|Gm23677|Gm24202|Gm24205|Gm24445|Gm24490|Gm24669|Gm24693|Gm25126|Gm25321|Gm26002|Gm26331|Gm26427|Gm26497
Gm22045	Gm22045|Gm22392|Gm22951|Gm23144|Gm23217|Gm24144|Gm24204|Gm24415|Gm24713|Gm24753|Gm25101|Gm25628|Gm25652|Gm25987|Gm26063|Gm26178
Gm22046	Gm22046|Gm22047|Gm22110|Gm22128|Gm22131|Gm22173|Gm22188|Gm22258|Gm22285|Gm22289|Gm22417|Gm22584|Gm22631|Gm22776|Gm22812|Gm22851|Gm22863|Gm22941|Gm23047|Gm23089|Gm23141|Gm23265|Gm23313|Gm23357|Gm23359|Gm23446|Gm23524|Gm23549|Gm23619|Gm23696|Gm23724|Gm23767|Gm23862|Gm23953|Gm24153|Gm24264|Gm24518|Gm24609|Gm24618|Gm24658|Gm24711|Gm24742|Gm24760|Gm25074|Gm25155|Gm25157|Gm25210|Gm25350|Gm25471|Gm25474|Gm25597|Gm25615|Gm25816|Gm25944|Gm26032|Gm26094|Gm26097|Gm26136|Gm26188|Gm26201|Gm26223|Gm26246|Gm26270|Gm26332|Gm26365|Gm26433|Gm26502|Gm26504|Snord116l1|Snord116l2
Gm22050	Gm22050|Gm22111|Gm22130|Gm22252|Gm22253|Gm22255|Gm22274|Gm22348|Gm22391|Gm22393|Gm22449|Gm22510|Gm22511|Gm22524|Gm22627|Gm22629|Gm22630|Gm22632|Gm22640|Gm22834|Gm22909|Gm22912|Gm22996|Gm23076|Gm23145|Gm23254|Gm23286|Gm23305|Gm23310|Gm23356|Gm23449|Gm23471|Gm23560|Gm23575|Gm23618|Gm23660|Gm23682|Gm23687|Gm23688|Gm23922|Gm23933|Gm23944|Gm24021|Gm24027|Gm24040|Gm24088|Gm24100|Gm24137|Gm24206|Gm24219|Gm24220|Gm24306|Gm24310|Gm24417|Gm24418|Gm24495|Gm24528|Gm24566|Gm24570|Gm24585|Gm24639|Gm24652|Gm24653|Gm24654|Gm24657|Gm24702|Gm24759|Gm24799|Gm24862|Gm24866|Gm24872|Gm24926|Gm24952|Gm24966|Gm24969|Gm25017|Gm25077|Gm25085|Gm25087|Gm25088|Gm25089|Gm25098|Gm25120|Gm25121|Gm25146|Gm25156|Gm25175|Gm25194|Gm25209|Gm25221|Gm25229|Gm25230|Gm25314|Gm25449|Gm25452|Gm25461|Gm25462|Gm25463|Gm25523|Gm25585|Gm25646|Gm25647|Gm25648|Gm25710|Gm25741|Gm25742|Gm25823|Gm25840|Gm25870|Gm25874|Gm25934|Gm25984|Gm25988|Gm26059|Gm26096|Gm26200|Gm26230|Gm26283|Gm26284|Gm26334|Gm26336|Gm26337|Gm26366|Gm26374|Gm26389|Gm26390|Gm26392|Gm26432|Gm26434|Gm26466|Gm26467|Gm26488|Gm26498|Gm26499
Gm22051	Gm22051|Gm22072|Gm22626|Gm22635|Gm22677|Gm23571|Gm24315|Gm24488|Gm24640|Gm24761|Gm24806|Gm25673|Gm25680|Gm25701|Gm26398|Gm26431|Mir669h|Mir669k
1700003E24Rik	1700003E24Rik|1700084M14Rik|BC061195
5031410I06Rik	5031410I06Rik|Gm10220|Gm10471|Gm1979|Gm21655|Gm21663|Gm21671|Gm21680|Gm21698|Gm5862|Gm7347|Gm7361|Speer4a|Speer4b
Gm22057	Gm22057|Gm22062|Gm22288|Gm22550|Gm22580|Gm22746|Gm23461|Gm23678|Gm24268|Gm24491|Gm24535|Gm25023|Gm25257|Gm25412|Gm25793|Gm25812|Gm26065|Gm26125|Gm26131|Gm26314|Gm26317|Gm26441
Gm22060	Gm22060|Gm22069|Gm22169|Gm22229|Gm22286|Gm22454|Gm22805|Gm22821|Gm23057|Gm23248|Gm23407|Gm23428|Gm23730|Gm24259|Gm24641|Gm25064|Gm25401|Gm25484|Gm25633|Gm26189|Gm26435|Gm29163
Gm22061	Gm22061|Gm22127|Gm22297|Gm22753|Gm23137|Gm23247|Gm23506|Gm23507|Gm23520|Gm23645|Gm23721|Gm24149|Gm24612|Gm24707|Gm24803|Gm24856|Gm25142|Gm25337|Gm25698|Gm25799|Gm25929|Gm25930|Gm26128|Gm26324
Gm22065	Gm22065|Gm23283|Gm23424|Gm23576
Gm22066	Gm22066|Gm23147|Gm23697|Gm24169|Gm24544|Gm24694|Gm25144|Gm25145|Gm25352
Gm22068	Gm22068|Gm22456|Rnu1a1
Gm22070	Gm22070|Gm22623|Gm22829|Gm22911|Gm22995|Gm23041|Gm23191|Gm23410|Gm23790|Gm24019|Gm24168|Gm24486|Gm25256|Gm25596|Gm25626|Gm25709|Gm25794|Gm26177|Gm26180|Gm26239|Gm26243
Gm22092	Gm22092|Gm22685|Gm23138|Gm23148|Gm23412|Gm24317|Gm24448|Gm24762|Gm24967|Gm24978|Gm25137|Gm25173|Gm26138|Rnu6-ps2
