"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster"
"GO:0050920","GO:0050920","regulation of chemotaxis","10/90","163/15217",4.13071838164761e-08,3.63267176534609e-06,2.09828070574521e-06,"CCL4/CCL2/EDN1/TNFSF18/CXCL8/CXCR4/SERPINE1/C3AR1/GPR183/C5AR1",10,"1"
"GO:0010573","GO:0010573","vascular endothelial growth factor production","6/90","34/15217",4.25631813307686e-08,3.63915200378072e-06,2.10202377975638e-06,"CCL2/IL1B/PTGS2/IL1A/C3AR1/C5AR1",6,"1"
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","15/90","459/15217",7.13388853243141e-08,5.35563631776192e-06,3.0934885061044e-06,"CCL4/CCL3L3/CCL2/IL1B/EDN1/GADD45B/IRAK2/TNF/TNFAIP8L3/CCL8/OSM/SPRY2/CXCR4/GPR183/C5AR1",15,"1"
"GO:0002526","GO:0002526","acute inflammatory response","9/90","136/15217",1.06724652390764e-07,7.63949953625054e-06,4.41267901806613e-06,"IL1B/PTGS2/TNF/IL1RN/OSM/IL1A/C3AR1/CEBPB/C5AR1",9,"1"
"GO:0032496","GO:0032496","response to lipopolysaccharide","12/90","291/15217",1.38298193643387e-07,8.86837166738217e-06,5.12249230402807e-06,"CCL2/IL1B/PTGS2/EDN1/PTGER4/IRAK2/TNF/CXCL8/SERPINE1/CD14/CEBPB/C5AR1",12,"1"
"GO:0050863","GO:0050863","regulation of T cell activation","12/90","298/15217",1.78862996709765e-07,1.12355164055644e-05,6.48978735645099e-06,"CCL2/IL1B/CD83/BCL6/TNFSF18/NFKBID/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DQB1/HLA-DPA1/CEBPB",12,"1"
"GO:2001234","GO:2001234","negative regulation of apoptotic signaling pathway","10/90","196/15217",2.3374320024196e-07,1.38357994297068e-05,7.99174625928482e-06,"IL1B/PTGS2/MCL1/NR4A2/TNF/IL1A/DDX3X/PLAUR/SERPINE1/GPX1",10,"1"
"GO:1901214","GO:1901214","regulation of neuron death","11/90","259/15217",3.56569138742239e-07,1.95985680187252e-05,1.13203999123241e-05,"CCL2/EGR1/BTG2/NR4A3/MCL1/NR4A2/FZD1/GPX1/APOE/CEBPB/C5AR1",11,"1"
"GO:0031099","GO:0031099","regeneration","9/90","163/15217",5.00610388035184e-07,2.52884773246537e-05,1.46069690507644e-05,"CCL2/NR4A3/CDKN1A/SPP1/IFRD1/GPX1/APOE/CEBPB/C5AR1",9,"1"
"GO:0010469","GO:0010469","regulation of receptor activity","14/90","469/15217",6.09715480148263e-07,3.0269423353167e-05,1.74840313407541e-05,"CCL4/CCL3L3/CCL2/IL1B/EDN1/TNFSF18/TNF/CXCL8/IL1RN/CCL8/OSM/SPP1/IL1A/SERPINE1",14,"1"
"GO:0045787","GO:0045787","positive regulation of cell cycle","12/90","340/15217",7.31959418410093e-07,3.52026732791604e-05,2.0333543712083e-05,"IL1B/BTG2/EDN1/NR4A3/CITED2/CDKN1A/IL1A/CCNL1/PLK3/DDX3X/ID2/EIF4E",12,"1"
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","12/90","348/15217",9.35453857041155e-07,4.36261662420102e-05,2.51990680150321e-05,"NR4A3/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DQB1/ACTB/HLA-DPA1/ACTG1/C3AR1/FCGR1B/C5AR1/ELF1",12,"1"
"GO:1904018","GO:1904018","positive regulation of vasculature development","8/90","140/15217",1.72502482710587e-06,7.17517083490793e-05,4.14447643382904e-05,"EGR1/IL1B/PTGS2/CXCL8/IL1A/SERPINE1/C3AR1/C5AR1",8,"1"
"GO:1905523","GO:1905523","positive regulation of macrophage migration","4/90","16/15217",1.97222381392755e-06,8.09400653235867e-05,4.67520845154194e-05,"CCL2/TNFSF18/C3AR1/C5AR1",4,"1"
"GO:0006979","GO:0006979","response to oxidative stress","12/90","380/15217",2.34382089906667e-06,9.36919574977558e-05,5.4117751175989e-05,"PTGS2/EDN1/NR4A3/MCL1/KDM6B/NR4A2/TNF/FZD1/KLF2/PLK3/GPX1/APOE",12,"1"
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","9/90","200/15217",2.75486576178891e-06,0.000103408253838857,5.97300163242807e-05,"IL1B/BCL6/CDKN1A/TNFSF18/CCL8/HLA-DPB1/HLA-DPA1/CEBPB/GPR183",9,"1"
"GO:0045429","GO:0045429","positive regulation of nitric oxide biosynthetic process","5/90","40/15217",3.61539497438637e-06,0.000127910180817945,7.38826631789301e-05,"IL1B/PTGS2/EDN1/TNF/KLF2",5,"1"
"GO:0001525","GO:0001525","angiogenesis","12/90","409/15217",4.99140453886056e-06,0.000172624080568683,9.97100208886516e-05,"CCL2/EGR3/IL1B/PTGS2/EDN1/CXCL8/IL1A/SERPINE1/GPX1/C3AR1/GNA13/C5AR1",12,"1"
"GO:0031622","GO:0031622","positive regulation of fever generation","3/90","7/15217",6.88363633088221e-06,0.000225402474749526,0.000130195540457559,"IL1B/PTGS2/TNF",3,"1"
"GO:0071216","GO:0071216","cellular response to biotic stimulus","8/90","180/15217",1.11303176731329e-05,0.000323199224508519,0.000186684275570223,"CCL2/IL1B/IRAK2/TNF/CXCL8/SERPINE1/CD14/CEBPB",8,"1"
"GO:0002521","GO:0002521","leukocyte differentiation","12/90","444/15217",1.14491985851778e-05,0.000329351712571751,0.00019023803650138,"EGR1/CD83/BCL6/PTGER4/TNFSF18/TNF/NFKBID/KLF6/KLF10/CEBPB/MAFB/GPR183",12,"1"
"GO:0048545","GO:0048545","response to steroid hormone","11/90","373/15217",1.21757594418712e-05,0.000343825573964032,0.000198598336043655,"CCL2/PTGS2/EDN1/NR4A3/CDKN1A/NR4A2/TNF/IL1RN/SPP1/PER1/EIF4E",11,"1"
"GO:1901652","GO:1901652","response to peptide","12/90","450/15217",1.30944498028624e-05,0.00036495805668489,0.000210804745987066,"CCL2/EGR1/EGR2/IL1B/PTGS2/BTG2/EDN1/NR4A3/NR4A2/PDK4/KLF2/KLF10",12,"1"
"GO:0002683","GO:0002683","negative regulation of immune system process","11/90","383/15217",1.55843949548228e-05,0.000417119718877779,0.00024093403275694,"CCL2/BCL6/PTGER4/TNFSF18/TNF/NFKBID/GPX1/CD14/CEBPB/MAFB/ELF1",11,"1"
"GO:0045080","GO:0045080","positive regulation of chemokine biosynthetic process","3/90","9/15217",1.63794718332797e-05,0.000433832967605363,0.000250587832935077,"EGR1/IL1B/TNF",3,"1"
"GO:0000302","GO:0000302","response to reactive oxygen species","8/90","194/15217",1.91680062340899e-05,0.000483599370397776,0.000279333585240533,"EDN1/NR4A3/KDM6B/TNF/KLF2/PLK3/GPX1/APOE",8,"1"
"GO:1903034","GO:1903034","regulation of response to wounding","7/90","146/15217",2.49029411662627e-05,0.000603553172517767,0.000348620535680212,"CCL2/EDN1/SPP1/PDPN/PLAUR/SERPINE1/APOE",7,"1"
"GO:0042060","GO:0042060","wound healing","12/90","492/15217",3.16209094684482e-05,0.000715907491873281,0.000413517921334418,"CCL2/EDN1/IL1A/IFRD1/PDPN/PLAUR/SERPINE1/ACTB/GPX1/ACTG1/APOE/GNA13",12,"1"
"GO:0002505","GO:0002505","antigen processing and presentation of polysaccharide antigen via MHC class II","2/90","2/15217",3.45941748281278e-05,0.000724359660686922,0.000418400009199484,"HLA-DRA/HLA-DRB1",2,"1"
"GO:0035283","GO:0035283","central nervous system segmentation","2/90","2/15217",3.45941748281278e-05,0.000724359660686922,0.000418400009199484,"EGR2/MAFB",2,"1"
"GO:0001503","GO:0001503","ossification","10/90","344/15217",3.51899593401633e-05,0.000726944260731696,0.000419892909399759,"EGR2/SRGN/PTGS2/CLEC5A/PTGER4/TNF/FZD1/SPP1/KLF10/CEBPB",10,"1"
"GO:0071417","GO:0071417","cellular response to organonitrogen compound","12/90","498/15217",3.55899583526523e-05,0.000730305945396426,0.000421834664264069,"CCL2/EGR1/IL1B/PTGS2/EDN1/NR4A3/NR4A2/TNF/PDK4/KLF2/KLF10/CEBPB",12,"1"
"GO:1900407","GO:1900407","regulation of cellular response to oxidative stress","5/90","64/15217",3.74690846504172e-05,0.00076377379174824,0.000441166148306411,"NR4A3/MCL1/TNF/FZD1/GPX1",5,"1"
"GO:0009408","GO:0009408","response to heat","7/90","156/15217",3.81119036589685e-05,0.000771766049094112,0.000445782585041536,"CCL2/PTGS2/IER5/CDKN1A/OSM/IL1A/CD14",7,"1"
"GO:0050715","GO:0050715","positive regulation of cytokine secretion","6/90","107/15217",4.04928000651246e-05,0.000809330120782165,0.000467480104647952,"IL1B/CLEC5A/PTGER4/TNF/IL1A/CD14",6,"1"
"GO:1901099","GO:1901099","negative regulation of signal transduction in absence of ligand","4/90","33/15217",4.10626804255702e-05,0.00081019827147375,0.000467981560315709,"IL1B/MCL1/TNF/IL1A",4,"1"
"GO:0006970","GO:0006970","response to osmotic stress","5/90","67/15217",4.68038423995585e-05,0.000889307563893273,0.000513676165458,"PTGS2/TNF/TSC22D2/PLK3/DDX3X",5,"1"
"GO:0045165","GO:0045165","cell fate commitment","8/90","221/15217",4.86296051557176e-05,0.000912694662617675,0.000527184872323536,"MCL1/KDM6B/TNFSF18/IFRD1/SPRY2/PDPN/ID2/CEBPB",8,"1"
"GO:0048661","GO:0048661","positive regulation of smooth muscle cell proliferation","5/90","68/15217",5.02843986551373e-05,0.000926798677009057,0.000535331543199035,"PTGS2/EDN1/NR4A3/TNF/ID2",5,"1"
"GO:0045807","GO:0045807","positive regulation of endocytosis","6/90","112/15217",5.23532292743587e-05,0.000953510294121161,0.00055076053718089,"CCL2/IL1B/TNF/SERPINE1/CD14/APOE",6,"1"
"GO:0045834","GO:0045834","positive regulation of lipid metabolic process","6/90","112/15217",5.23532292743587e-05,0.000953510294121161,0.00055076053718089,"IL1B/PTGS2/NR4A3/TNF/TNFAIP8L3/APOE",6,"1"
"GO:0051044","GO:0051044","positive regulation of membrane protein ectodomain proteolysis","3/90","14/15217",6.94714837305818e-05,0.00121496151660642,0.000701778325484166,"IL1B/TNF/APOE",3,"1"
"GO:1902105","GO:1902105","regulation of leukocyte differentiation","8/90","236/15217",7.71604511155153e-05,0.00131215396979865,0.000757918010666504,"CD83/BCL6/TNFSF18/TNF/NFKBID/KLF10/CEBPB/MAFB",8,"1"
"GO:1901654","GO:1901654","response to ketone","7/90","177/15217",8.48482832518864e-05,0.00143496162554564,0.000828853385844049,"CCL2/EDN1/CDKN1A/PTGER4/SPP1/KLF2/EIF4E",7,"1"
"GO:0051353","GO:0051353","positive regulation of oxidoreductase activity","4/90","40/15217",8.88570160034735e-05,0.00149454587573055,0.00086327006056869,"IL1B/EDN1/TNF/APOE",4,"1"
"GO:0070542","GO:0070542","response to fatty acid","5/90","77/15217",9.14094264592407e-05,0.00151267857334163,0.000873743753761503,"CCL2/PTGS2/EDN1/PTGER4/PDK4",5,"1"
"GO:0046136","GO:0046136","positive regulation of vitamin metabolic process","2/90","3/15217",0.000103382355258636,0.00163344170206083,0.000943498182271723,"IL1B/TNF",2,"1"
"GO:0006959","GO:0006959","humoral immune response","7/90","183/15217",0.000104544514394407,0.00163344170206083,0.000943498182271723,"CCL2/CD83/TNF/HLA-DQB1/C3AR1/GPR183/C5AR1",7,"1"
"GO:0050663","GO:0050663","cytokine secretion","7/90","183/15217",0.000104544514394407,0.00163344170206083,0.000943498182271723,"IL1B/SRGN/CLEC5A/PTGER4/TNF/IL1A/CD14",7,"1"
"GO:0071229","GO:0071229","cellular response to acid chemical","7/90","183/15217",0.000104544514394407,0.00163344170206083,0.000943498182271723,"CCL2/EGR1/EDN1/PTGER4/TNF/PDK4/CEBPB",7,"1"
"GO:0030193","GO:0030193","regulation of blood coagulation","5/90","80/15217",0.000109683907260941,0.00166308899777919,0.000960622864214307,"EDN1/PDPN/PLAUR/SERPINE1/APOE",5,"1"
"GO:0032102","GO:0032102","negative regulation of response to external stimulus","8/90","249/15217",0.00011203979787855,0.00168223657497648,0.000971682765683551,"CCL2/EDN1/PTGER4/SPP1/PLAUR/SERPINE1/GPX1/APOE",8,"1"
"GO:0046651","GO:0046651","lymphocyte proliferation","8/90","249/15217",0.00011203979787855,0.00168223657497648,0.000971682765683551,"IL1B/BCL6/CDKN1A/TNFSF18/HLA-DPB1/HLA-DPA1/CEBPB/GPR183",8,"1"
"GO:0050673","GO:0050673","epithelial cell proliferation","9/90","321/15217",0.000116606502603619,0.00174230492725213,0.00100637906437155,"CCL2/EGR3/NR4A3/TNF/GPX1/APOE/ID2/CEBPB/C5AR1",9,"1"
"GO:1901655","GO:1901655","cellular response to ketone","5/90","82/15217",0.000123341465168532,0.00181648339611838,0.00104922555864845,"CCL2/PTGER4/SPP1/KLF2/EIF4E",5,"1"
"GO:0034599","GO:0034599","cellular response to oxidative stress","8/90","253/15217",0.000125084100989779,0.00182468655377507,0.00105396381427656,"NR4A3/MCL1/KDM6B/NR4A2/TNF/FZD1/KLF2/GPX1",8,"1"
"GO:2000045","GO:2000045","regulation of G1/S transition of mitotic cell cycle","6/90","137/15217",0.00015983797277896,0.00219634500095375,0.00126863879710369,"BTG2/CDKN1A/PLK3/DDX3X/PDPN/ID2",6,"1"
"GO:0009636","GO:0009636","response to toxic substance","7/90","197/15217",0.000165221631256361,0.00225023088941186,0.00129976402045643,"CCL4/PTGS2/CDKN1A/KDM6B/TNF/GPX1/APOE",7,"1"
"GO:0009612","GO:0009612","response to mechanical stimulus","7/90","200/15217",0.000181350305834281,0.00243753817186864,0.00140795525880993,"CCL2/IL1B/PTGS2/BTG2/EDN1/PTGER4/KCNJ2",7,"1"
"GO:0045446","GO:0045446","endothelial cell differentiation","5/90","90/15217",0.000191436753391262,0.00256192316060133,0.00147980172301072,"IL1B/KDM6B/TNF/PDPN/GPX1",5,"1"
"GO:0071398","GO:0071398","cellular response to fatty acid","4/90","50/15217",0.000214048869874749,0.00277992582900623,0.00160572303450345,"CCL2/EDN1/PTGER4/PDK4",4,"1"
"GO:0071496","GO:0071496","cellular response to external stimulus","8/90","275/15217",0.000221324271288689,0.00285036028044597,0.00164640693330366,"IL1B/PTGS2/CDKN1A/PTGER4/NR4A2/KCNJ2/PDK4/KLF10",8,"1"
"GO:0070482","GO:0070482","response to oxygen levels","9/90","352/15217",0.000232632844291205,0.00297113649264866,0.00171616891901221,"CCL2/EGR1/PTGS2/EDN1/CITED2/CDKN1A/NR4A2/PLK3/CXCR4",9,"1"
"GO:0019886","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","5/90","95/15217",0.000246601516383487,0.00307303428108653,0.00177502646994123,"HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DQB1/HLA-DPA1",5,"1"
"GO:0032370","GO:0032370","positive regulation of lipid transport","4/90","53/15217",0.000268510024059231,0.00326669507531349,0.00188688758325792,"IL1B/EDN1/SPP1/APOE",4,"1"
"GO:0010332","GO:0010332","response to gamma radiation","4/90","54/15217",0.000288688367194326,0.00345752060009391,0.00199711100631258,"CCL2/EGR1/CDKN1A/GPX1",4,"1"
"GO:0048511","GO:0048511","rhythmic process","8/90","290/15217",0.000316716436681931,0.003720813710332,0.00214919269407707,"EGR3/EGR1/EGR2/PER1/KLF10/SERPINE1/ID2/CEBPB",8,"1"
"GO:0032763","GO:0032763","regulation of mast cell cytokine production","2/90","5/15217",0.000341957192661135,0.00393474341523107,0.0022727614063559,"NR4A3/BCL6",2,"1"
"GO:0051090","GO:0051090","regulation of DNA binding transcription factor activity","9/90","371/15217",0.000342596242781652,0.00393474341523107,0.0022727614063559,"IL1B/EDN1/SGK1/IRAK2/TNFSF18/TNF/FZD1/NFKBID/ID2",9,"1"
"GO:0001101","GO:0001101","response to acid chemical","8/90","303/15217",0.000424440990155162,0.00466581917034853,0.00269504072320326,"CCL2/EGR1/PTGS2/EDN1/PTGER4/TNF/PDK4/CEBPB",8,"1"
"GO:0033598","GO:0033598","mammary gland epithelial cell proliferation","3/90","26/15217",0.000471375624104607,0.00510878229223233,0.00295090225764523,"GPX1/ID2/CEBPB",3,"1"
"GO:0017038","GO:0017038","protein import","8/90","308/15217",0.000473092743491975,0.00510940162971333,0.00295125999541255,"IL1B/PTGS2/BCL6/CDKN1A/TNF/FZD1/APOE/GPN3",8,"1"
"GO:0000082","GO:0000082","G1/S transition of mitotic cell cycle","7/90","238/15217",0.000520281830882126,0.00552216370846615,0.00318967699586174,"BTG2/CDKN1A/PLK3/DDX3X/PDPN/ID2/EIF4E",7,"1"
"GO:0035690","GO:0035690","cellular response to drug","4/90","63/15217",0.000522176975985641,0.00552323275630173,0.00319029449245704,"CCL4/CCL2/IL1B/EDN1",4,"1"
"GO:0033198","GO:0033198","response to ATP","3/90","27/15217",0.000528035702699861,0.00554707813279922,0.00320406790680821,"CCL2/IL1B/PTGS2",3,"1"
"GO:0033555","GO:0033555","multicellular organismal response to stress","4/90","65/15217",0.000588201486087623,0.00610291857646327,0.00352512892023066,"NR4A2/OSM/APOE/EIF4E",4,"1"
"GO:0007596","GO:0007596","blood coagulation","8/90","320/15217",0.000608547162074043,0.00628559786867082,0.00363064696836121,"EDN1/PDPN/PLAUR/SERPINE1/ACTB/ACTG1/APOE/GNA13",8,"1"
"GO:0002697","GO:0002697","regulation of immune effector process","8/90","321/15217",0.000621120725255395,0.00635152688483756,0.00366872846636252,"CCL2/IL1B/NR4A3/BCL6/TNFSF18/TNF/C3AR1/C5AR1",8,"1"
"GO:0050890","GO:0050890","cognition","7/90","248/15217",0.00066418054077876,0.00665911304402939,0.00384639442268241,"EGR2/PTGS2/BTG2/SGK1/HLA-DRA/APOE/CEBPB",7,"1"
"GO:1905952","GO:1905952","regulation of lipid localization","5/90","119/15217",0.000695631415246867,0.00687572462960606,0.00397151222578046,"IL1B/EDN1/TNF/SPP1/APOE",5,"1"
"GO:0043615","GO:0043615","astrocyte cell migration","2/90","7/15217",0.000712591344004007,0.00687572462960606,0.00397151222578046,"CCL2/GPR183",2,"1"
"GO:0060137","GO:0060137","maternal process involved in parturition","2/90","7/15217",0.000712591344004007,0.00687572462960606,0.00397151222578046,"CCL2/EDN1",2,"1"
"GO:0045581","GO:0045581","negative regulation of T cell differentiation","3/90","31/15217",0.000797712208190161,0.00757826597780653,0.00437730968041969,"BCL6/TNFSF18/NFKBID",3,"1"
"GO:0006606","GO:0006606","protein import into nucleus","7/90","257/15217",0.000819199610924433,0.00774012774234208,0.00447080324093423,"IL1B/PTGS2/BCL6/CDKN1A/TNF/FZD1/GPN3",7,"1"
"GO:0031349","GO:0031349","positive regulation of defense response","9/90","422/15217",0.000864809266533451,0.00811549671460354,0.00468762147360397,"IL1B/PTGS2/PTGER4/IRAK2/TNFSF18/TNF/OSM/SERPINE1/CD14",9,"1"
"GO:0006692","GO:0006692","prostanoid metabolic process","3/90","32/15217",0.000876484296643079,0.00815050956213715,0.00470784537137911,"PTGS2/EDN1/PDPN",3,"1"
"GO:0035234","GO:0035234","ectopic germ cell programmed cell death","2/90","8/15217",0.000946466249886825,0.0086961884094079,0.00502303690827603,"IL1B/IL1A",2,"1"
"GO:0048671","GO:0048671","negative regulation of collateral sprouting","2/90","8/15217",0.000946466249886825,0.0086961884094079,0.00502303690827603,"SPP1/IFRD1",2,"1"
"GO:0007568","GO:0007568","aging","7/90","266/15217",0.00100156768461623,0.00917507539657371,0.00529964855675695,"CCL2/PTGS2/EDN1/BCL6/CDKN1A/SERPINE1/ID2",7,"1"
"GO:0034405","GO:0034405","response to fluid shear stress","3/90","34/15217",0.00104844888183063,0.00957604052900501,0.00553125148028093,"PTGS2/CITED2/KLF2",3,"1"
"GO:0071260","GO:0071260","cellular response to mechanical stimulus","4/90","76/15217",0.00106091337000964,0.00966121702038364,0.0055804505822058,"IL1B/PTGS2/PTGER4/KCNJ2",4,"1"
"GO:0051224","GO:0051224","negative regulation of protein transport","6/90","196/15217",0.00107389788435813,0.00972193437663035,0.00561552175442996,"IL1B/SRGN/PTGER4/TNF/FZD1/MIDN",6,"1"
"GO:0048002","GO:0048002","antigen processing and presentation of peptide antigen","12/24","181/15217",1.32598682118224e-17,1.56864240945859e-14,9.15628794416365e-15,"CD74/HLA-B/HLA-DRB5/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DQB1/B2M/HLA-C/HLA-DQA1/MARCH1",12,"2"
"GO:0060333","GO:0060333","interferon-gamma-mediated signaling pathway","10/24","86/15217",3.56215942200922e-17,2.10701729811845e-14,1.22988241096739e-14,"HLA-B/HLA-DRB5/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DQB1/B2M/HLA-C/HLA-DQA1",10,"2"
"GO:0031295","GO:0031295","T cell costimulation","7/24","68/15217",8.4430908152766e-12,9.08016039497474e-10,5.30016035868081e-10,"HLA-DRB5/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1",7,"2"
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","8/24","208/15217",6.49254056081112e-10,5.4861967738854e-08,3.20233579540759e-08,"CD74/HLA-DRB5/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1",8,"2"
"GO:00071591","GO:0007159","leukocyte cell-cell adhesion","9/24","340/15217",1.21536383536649e-09,9.58516944825708e-08,5.59493807719593e-08,"CD74/HLA-DRB5/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DPB1/SELPLG/HLA-DQB1/HLA-DQA1",9,"2"
"GO:00421101","GO:0042110","T cell activation","9/24","429/15217",9.29412587156546e-09,5.23569090764854e-07,3.05611356979797e-07,"CD74/HLA-DRB5/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DQB1/B2M/HLA-DQA1",9,"2"
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","5/24","97/15217",3.66259463948617e-07,1.39769337371359e-05,8.15844510527309e-06,"CD74/C1QA/C3/HLA-DQB1/C1QB",5,"2"
"GO:0002449","GO:0002449","lymphocyte mediated immunity","6/24","209/15217",6.84104897733901e-07,2.2480447056089e-05,1.31220120734924e-05,"CD74/C1QA/C3/HLA-DQB1/B2M/C1QB",6,"2"
"GO:0002506","GO:0002506","polysaccharide assembly with MHC class II protein complex","2/24","2/15217",2.38401804059009e-06,6.87876424882456e-05,4.01518827888856e-05,"HLA-DRB1/HLA-DRA",2,"2"
"GO:00026971","GO:0002697","regulation of immune effector process","6/24","321/15217",8.21280384549709e-06,0.00022081243066416,0.000128889935948471,"CD74/C1QA/HTRA1/C3/B2M/C1QB",6,"2"
"GO:0034756","GO:0034756","regulation of iron ion transport","2/24","4/15217",1.42765453128551e-05,0.000351857356356407,0.000205381879939318,"B2M/HAMP",2,"2"
"GO:0006958","GO:0006958","complement activation, classical pathway","3/24","31/15217",1.50521185308794e-05,0.000363401147388375,0.000212120080692952,"C1QA/C3/C1QB",3,"2"
"GO:0010039","GO:0010039","response to iron ion","3/24","32/15217",1.65920479890115e-05,0.000392567855420013,0.000229144915385085,"C1QA/B2M/HAMP",3,"2"
"GO:00025261","GO:0002526","acute inflammatory response","4/24","136/15217",5.64533216051792e-05,0.00123674591590606,0.000721898225594494,"C1QA/C3/C1QB/HAMP",4,"2"
"GO:00018191","GO:0001819","positive regulation of cytokine production","5/24","382/15217",0.000278388984984292,0.00528237931925583,0.00308336595936453,"CD74/HLA-DPA1/HLA-DPB1/C3/B2M",5,"2"
"GO:0097242","GO:0097242","amyloid-beta clearance","2/24","18/15217",0.00035917247633361,0.00663907874222907,0.00387528198149421,"C3/APOE",2,"2"
