5S_rRNA__chr2	5S_rRNA__chr2|RNA5SP100__chr2
AGAP4__chr10	AGAP4__chr10|AGAP5__chr10|AGAP6__chr10|AGAP9__chr10|CTGLF11P__chr10
AKAP2__chr9	AKAP2__chr9|PALM2-AKAP2__chr9
AC005088.1__chr7	AC005088.1__chr7|AC093668.2__chr7
AKR7A3__chr1	AKR7A3__chr1|AKR7L__chr1
AL009179.1__chr6	AL009179.1__chr6|AL049822.1__chr6
AL021807.1__chr6	AL021807.1__chr6|Z98744.1__chr6|Z98744.2__chr6
AL021917.1__chr6	AL021917.1__chr6|AL021918.1__chr6
AL031229.1__chr6	AL031229.1__chr6|AL050335.1__chr6|AL109615.1__chr6|AL138721.2__chr6|AL138726.1__chr6|AL138885.1__chr6
AC004832.1__chr22	AC004832.1__chr22|AL031587.1__chr22
AL031768.1__chr6	AL031768.1__chr6|AL353602.1__chr6|AL357515.1__chr6|AL512428.1__chr6|AL590684.1__chr6
AL031777.2__chr6	AL031777.2__chr6|Z98744.3__chr6
AL033378.1__chr6	AL033378.1__chr6|AL034375.1__chr6|AL080276.1__chr6|AL080285.1__chr6|AL136446.1__chr6|AL137006.1__chr6|AL138919.1__chr6|AL158051.1__chr6|AL356137.1__chr6|AL512290.1__chr6|AL589736.1__chr6|AL590558.1__chr6|AL590731.1__chr6|AL590874.1__chr6|AL606923.1__chr6|AL645941.1__chr6|FO393414.1__chr6|MIR548A1__chr6|MIR548A2__chr6|Z97352.1__chr6
AL035419.1__chr20	AL035419.1__chr20|AL360078.1__chr20
AC005150.2__chr4	AC005150.2__chr4|AC020703.1__chr4|AC024198.1__chr4|AC078881.1__chr4|AC083829.1__chr4|AC093788.1__chr4|AC093817.1__chr4|AC095040.1__chr4|AC098869.1__chr4|AC099339.1__chr4|AC104687.1__chr4|AC108218.1__chr4|AC121157.1__chr4
AL035467.1__chr6	AL035467.1__chr6|AL133269.1__chr6
AL049539.1__chr20	AL049539.1__chr20|AL109658.1__chr20
AL050303.7__chr21	AL050303.7__chr21|CH507-210P18.5__chr21
AL050316.1__chr20	AL050316.1__chr20|AL050321.1__chr20
AL109620.1__chrX	AL109620.1__chrX|AL596243.1__chrX
AL117334.1__chr20	AL117334.1__chr20|AL121899.1__chr20
AL118506.1__chr20	AL118506.1__chr20|AL118506.2__chr20|MIR941-1__chr20|MIR941-3__chr20|MIR941-4__chr20|MIR941-5__chr20
AL118525.1__chr20	AL118525.1__chr20|AL121753.1__chr20|AL133230.1__chr20|AL138807.1__chr20|AL158089.1__chr20
AL122127.2__chr14	AL122127.2__chr14|AL122127.3__chr14|AL928761.1__chr14|MIR8071-1__chr14|MIR8071-2__chr14
AL132709.6__chr14	AL132709.6__chr14|MIR376A1__chr14|MIR376B__chr14|MIR376C__chr14
AC005324.7__chr17	AC005324.7__chr17|RP11-434D2.12__chr17
AL133232.1__chr20	AL133232.1__chr20|AL139429.1__chr20
AL133391.1__chr9	AL133391.1__chr9|AL353783.1__chr9|AL354682.1__chr9|AL365274.1__chr9
AL136001.1__chr14	AL136001.1__chr14|AL356019.1__chr14
AL136221.1__chr13	AL136221.1__chr13|AL136221.2__chr13|AL136221.3__chr13|MIR8075__chr13
AL136303.1__chr6	AL136303.1__chr6|AL359709.1__chr6|AL391416.1__chr6
AL136419.6__chr14	AL136419.6__chr14|CHMP4A__chr14
AL137118.1__chr13	AL137118.1__chr13|AL354896.1__chr13
AL137229.1__chr14	AL137229.1__chr14|AL139022.1__chr14
AL139099.3__chr14	AL139099.3__chr14|AL627171.1__chr14|RN7SL3__chr14
AL139815.1__chr10	AL139815.1__chr10|AL157392.1__chr10
AC005522.7__chr7	AC005522.7__chr7|AC007078.4__chr7
AL139821.1__chr10	AL139821.1__chr10|AL589988.1__chr10
AL157407.1__chr1	AL157407.1__chr1|AL356261.1__chr1|AL445464.1__chr1
AL157830.1__chr9	AL157830.1__chr9|AL158077.1__chr9
AL157883.1__chr9	AL157883.1__chr9|AL353707.1__chr9
AL158151.2__chr9	AL158151.2__chr9|AL354981.1__chr9|AL592549.1__chr9
AL158154.1__chr9	AL158154.1__chr9|AL158155.1__chr9
AL162381.1__chr6	AL162381.1__chr6|AL358134.2__chr6
AL162586.1__chr9	AL162586.1__chr9|MIR3960__chr9
AL163952.1__chr14	AL163952.1__chr14|AL356756.1__chr14
AL353626.1__chr9	AL353626.1__chr9|BX088702.1__chr9|BX088702.2__chr9|MIR1299__chr9
AC005538.1__chr2	AC005538.1__chr2|AC018737.1__chr2|AC068056.1__chr2
AL353763.1__chr9	AL353763.1__chr9|FP565210.1__chr9
AL353765.1__chr13	AL353765.1__chr13|AL354764.1__chr13|AL356750.1__chr13|AL390071.1__chr13
AL353803.1__chr9	AL353803.1__chr9|AL354928.1__chr9|AL358815.1__chr9
AL353805.1__chr9	AL353805.1__chr9|AL354923.1__chr9
AL354806.1__chr13	AL354806.1__chr13|AL356253.1__chr13
AL354820.1__chr13	AL354820.1__chr13|AL442643.1__chr13
AL358354.1__chr1	AL358354.1__chr1|AL391650.1__chr1|MIR1273G__chr1
AL359314.1__chr9	AL359314.1__chr9|AL365502.1__chr9|AL442639.1__chr9|AL591377.1__chr9
AL359955.1__chr9	AL359955.1__chr9|FO203515.1__chr9|FP325318.1__chr9
AL365214.1__chr6	AL365214.1__chr6|Z84488.1__chr6
AC005702.1__chr17	AC005702.1__chr17|AC005702.2__chr17|AC005702.3__chr17|AC005702.4__chr17|MIR4737__chr17
AL450304.2__chr1	AL450304.2__chr1|AL713899.1__chr1
AL513412.1__chr9	AL513412.1__chr9|RP11-146B14.1__chr9
AL513547.1__chr6	AL513547.1__chr6|AL671883.1__chr6
AL590085.1__chr1	AL590085.1__chr1|MIR1273F__chr1
AL391375.1__chrX	AL391375.1__chrX|AL590222.1__chrX
AL603650.1__chr9	AL603650.1__chr9|AL603650.3__chr9|AL603650.5__chr9|MIR3689A__chr9
AL603650.2__chr9	AL603650.2__chr9|MIR3689B__chr9
AL732375.1__chr10	AL732375.1__chr10|AL732375.2__chr10|AL732375.3__chr10|AL732375.4__chr10|AL732375.5__chr10|AL732375.6__chr10|AL732375.7__chr10|AL845259.2__chr10|AL845259.3__chr10|AL845259.4__chr10|AL845259.5__chr10|AL845259.6__chr10|AL845259.7__chr10|AL845259.8__chr10
ALPPL2__chr2	ALPPL2__chr2|ALPP__chr2
AMY1A__chr1	AMY1A__chr1|AMY1B__chr1|AMY1C__chr1|AMY2A__chr1|AMY2B__chr1
AC003666.1__chrX	AC003666.1__chrX|AC005926.1__chrX|AC231656.1__chrX|AC233287.1__chrX|AC235953.1__chrX|AL031176.1__chrX|AL109800.1__chrX|AL355593.1__chrX|AL359851.1__chrX|KF459411.1__chrX|Y10196.1__chrX|Z83819.1__chrX|Z83826.1__chrX
ANKHD1-EIF4EBP3__chr5	ANKHD1-EIF4EBP3__chr5|ANKHD1__chr5
ANKRD18A__chr9	ANKRD18A__chr9|ANKRD18B__chr9
ANKRD20A1__chr9	ANKRD20A1__chr9|ANKRD20A2__chr9|ANKRD20A3__chr9|ANKRD20A4__chr9
ANKRD36C__chr2	ANKRD36C__chr2|ANKRD36__chr2
AP000322.53__chr21	AP000322.53__chr21|CH507-396I9.3__chr21
AP000719.1__chr11	AP000719.1__chr11|AP003385.1__chr11
AP001631.10__chr21	AP001631.10__chr21|CH507-152C13.6__chr21
AP001631.1__chr21	AP001631.1__chr21|FP236240.1__chr21
AP006285.6__chr11	AP006285.6__chr11|AP006285.7__chr11
AP006564.1__chr18	AP006564.1__chr18|MIR3156-2__chr18
AC006019.1__chr7	AC006019.1__chr7|AC092666.1__chr7
AQP12A__chr2	AQP12A__chr2|AQP12B__chr2
ARHGEF18__chr19	ARHGEF18__chr19|CTD-2207O23.3__chr19
ARL2-SNX15__chr11	ARL2-SNX15__chr11|SNX15__chr11
AS3MT__chr10	AS3MT__chr10|BORCS7-ASMT__chr10
ATAD3A__chr1	ATAD3A__chr1|ATAD3B__chr1
ATP6V1G2-DDX39B__chr6	ATP6V1G2-DDX39B__chr6|DDX39B__chr6
BBS1__chr11	BBS1__chr11|CTD-3074O7.11__chr11
BLOC1S5-TXNDC5__chr6	BLOC1S5-TXNDC5__chr6|TXNDC5__chr6
BOLA2B__chr16	BOLA2B__chr16|BOLA2__chr16
BORCS8-MEF2B__chr19	BORCS8-MEF2B__chr19|MEF2B__chr19
ABC7-42404400C24.1__chr10	ABC7-42404400C24.1__chr10|SYT15__chr10
AC006019.4__chr7	AC006019.4__chr7|RP11-728K20.2__chr7
BPY2B__chrY	BPY2B__chrY|BPY2C__chrY|BPY2__chrY
BTN3A1__chr6	BTN3A1__chr6|BTN3A2__chr6|BTN3A3__chr6
BX649553.1__chrX	BX649553.1__chrX|BX649553.2__chrX|BX649553.3__chrX|BX649553.4__chrX|MIR3690__chrX
BX649553.1__chrY	BX649553.1__chrY|BX649553.2__chrY|BX649553.3__chrY|BX649553.4__chrY|MIR3690__chrY
C11orf52__chr11	C11orf52__chr11|HSPB2-C11orf52__chr11
C21orf33__chr21	C21orf33__chr21|CH507-9B2.3__chr21|CH507-9B2.4__chr21
C4A-AS1__chr6	C4A-AS1__chr6|C4B-AS1__chr6
C4A__chr6	C4A__chr6|C4B__chr6
CAPN3__chr15	CAPN3__chr15|RP11-164J13.1__chr15
CBSL__chr21	CBSL__chr21|CBS__chr21
AC006026.2__chr7	AC006026.2__chr7|AC073333.1__chr7
CBWD3__chr9	CBWD3__chr9|CBWD5__chr9
CCDC103__chr17	CCDC103__chr17|FAM187A__chr17
CCDC180__chr9	CCDC180__chr9|RP11-23J9.4__chr9
CCDC74A__chr2	CCDC74A__chr2|CCDC74B__chr2
CCL3L3__chr17	CCL3L3__chr17|CCL3__chr17
CCZ1B__chr7	CCZ1B__chr7|CCZ1__chr7
CDK11A__chr1	CDK11A__chr1|CDK11B__chr1
CDK3__chr17	CDK3__chr17|TEN1-CDK3__chr17
CDRT1__chr17	CDRT1__chr17|FBXW10__chr17
CDRT4__chr17	CDRT4__chr17|TVP23C-CDRT4__chr17
AC006328.1__chrY	AC006328.1__chrY|AC012005.2__chrY
CDY1B__chrY	CDY1B__chrY|CDY1__chrY|CDY2A__chrY|CDY2B__chrY
CELA2A__chr1	CELA2A__chr1|CELA2B__chr1
CELA3A__chr1	CELA3A__chr1|CELA3B__chr1
CELF6__chr15	CELF6__chr15|RP11-106M3.2__chr15
CENPVP1__chrX	CENPVP1__chrX|RP11-141O19.1__chrX
CERS1__chr19	CERS1__chr19|GDF1__chr19
CFAP206__chr6	CFAP206__chr6|RP3-382I10.7__chr6
CFC1B__chr2	CFC1B__chr2|CFC1__chr2
CFHR1__chr1	CFHR1__chr1|CFHR2__chr1|RP4-608O15.3__chr1
CGB1__chr19	CGB1__chr19|CGB2__chr19|CTB-60B18.6__chr19|LHB__chr19
AC006328.2__chrY	AC006328.2__chrY|AC006328.3__chrY|AC012005.1__chrY|AC023274.1__chrY
CGB5__chr19	CGB5__chr19|CGB8__chr19|CGB__chr19
CH17-212P11.5__chr14	CH17-212P11.5__chr14|IGHV1-24__chr14
CH17-224D4.1__chr14	CH17-224D4.1__chr14|IGHV3-23__chr14|IGHV3-66__chr14
CH17-224D4.2__chr14	CH17-224D4.2__chr14|IGHV5-51__chr14
CH17-262H11.1__chr14	CH17-262H11.1__chr14|IGHV7-81__chr14
CH17-360D5.1__chr10	CH17-360D5.1__chr10|NPY4R__chr10
CH507-145C22.1__chr21	CH507-145C22.1__chr21|CH507-24F1.2__chr21|CH507-254M2.1__chr21|CH507-254M2.2__chr21
CH507-145C22.3__chr21	CH507-145C22.3__chr21|CH507-145C22.4__chr21|CH507-154B10.2__chr21|CH507-24F1.1__chr21|CH507-254M2.3__chr21
CH507-152C13.3__chr21	CH507-152C13.3__chr21|CRYAA__chr21
CH507-236L23.3__chr21	CH507-236L23.3__chr21|CH507-338C24.3__chr21|CH507-39O4.3__chr21
AC006328.4__chrY	AC006328.4__chrY|AC012005.4__chrY
CH507-338C24.1__chr21	CH507-338C24.1__chr21|RP11-717F1.2__chr21
CH507-396I9.6__chr21	CH507-396I9.6__chr21|KCNE1__chr21
CH507-42P11.6__chr21	CH507-42P11.6__chr21|LINC00319__chr21
CH507-42P11.8__chr21	CH507-42P11.8__chr21|SIK1__chr21
CH507-513H4.1__chr21	CH507-513H4.1__chr21|CH507-528H12.1__chr21
CH507-513H4.3__chr21	CH507-513H4.3__chr21|CH507-513H4.4__chr21|CH507-513H4.5__chr21|CH507-513H4.6__chr21
CH507-9B2.5__chr21	CH507-9B2.5__chr21|PWP2__chr21
CHKB-CPT1B__chr22	CHKB-CPT1B__chr22|CPT1B__chr22
CHRFAM7A__chr15	CHRFAM7A__chr15|CHRNA7__chr15
CKMT1A__chr15	CKMT1A__chr15|CKMT1B__chr15
AC006386.1__chrY	AC006386.1__chrY|AC012005.3__chrY
CLCNKA__chr1	CLCNKA__chr1|CLCNKB__chr1
CLEC18A__chr16	CLEC18A__chr16|CLEC18B__chr16|CLEC18C__chr16
CORO7-PAM16__chr16	CORO7-PAM16__chr16|CORO7__chr16
CR392039.1__chr21	CR392039.1__chr21|CR392039.2__chr21
CSH1__chr17	CSH1__chr17|CSH2__chr17|CSHL1__chr17|GH1__chr17|GH2__chr17
CSPG4P1Y__chrY	CSPG4P1Y__chrY|CSPG4P2Y__chrY
CST1__chr20	CST1__chr20|CST2__chr20|CST4__chr20
CT45A10__chrX	CT45A10__chrX|CT45A1__chrX|CT45A2__chrX|CT45A3__chrX|CT45A5__chrX|CT45A6__chrX|CT45A7__chrX|CT45A8__chrX|CT45A9__chrX
CT47A10__chrX	CT47A10__chrX|CT47A11__chrX|CT47A12__chrX|CT47A1__chrX|CT47A2__chrX|CT47A3__chrX|CT47A4__chrX|CT47A5__chrX|CT47A6__chrX|CT47A7__chrX|CT47A8__chrX|CT47A9__chrX|CT47B1__chrX
CTAG1A__chrX	CTAG1A__chrX|CTAG1B__chrX|CTAG2__chrX
AC007163.1__chr2	AC007163.1__chr2|AC007560.2__chr2|AC009297.1__chr2|AC015971.1__chr2|AC017084.1__chr2
CTAGE15__chr7	CTAGE15__chr7|CTAGE4__chr7|CTAGE6__chr7|CTAGE8__chr7
CTB-25J19.1__chr19	CTB-25J19.1__chr19|MBD3L2__chr19|MBD3L3__chr19|MBD3L4__chr19|MBD3L5__chr19
CTC-432M15.3__chr5	CTC-432M15.3__chr5|RAPGEF6__chr5
CTC-457L16.1__chr17	CTC-457L16.1__chr17|CTC-457L16.2__chr17
CTC-487M23.8__chr5	CTC-487M23.8__chr5|ZRSR1__chr5
CTD-2008A1.1__chr15	CTD-2008A1.1__chr15|RP11-109D20.2__chr15
CTD-2192J16.17__chr19	CTD-2192J16.17__chr19|ZNF709__chr19
CTD-2199O4.3__chr5	CTD-2199O4.3__chr5|CTD-2199O4.7__chr5
CTD-2311B13.5__chr14	CTD-2311B13.5__chr14|RP11-244H18.1__chr14
CTD-2349P21.7__chr17	CTD-2349P21.7__chr17|RP1-59D14.9__chr17
AC007163.2__chr2	AC007163.2__chr2|AC017081.1__chr2|AC109829.2__chr2
CTD-2550O8.5__chr19	CTD-2550O8.5__chr19|NDUFA7__chr19
CTD-3126B10.4__chr16	CTD-3126B10.4__chr16|RP11-20I23.11__chr16
CTD-3126B10.5__chr16	CTD-3126B10.5__chr16|RP11-20I23.10__chr16
